b1,b2,b3,o
1,2,3,6.0
1,2,4,7.1
1,2,5,5.6
1,2,6,14.6
1,3,2,18.3
1,3,4,29.0
1,3,5,31.6
1,3,6,55.2
1,4,2,24.4
1,4,3,51.2
1,4,5,41.6
1,4,6,63.8
1,5,2,18.2
1,5,3,43.8
1,5,4,47.4
1,5,6,43.4
1,6,2,51.0
1,6,3,129.1
1,6,4,120.5
1,6,5,93.5
2,1,3,31.1
2,1,4,33.4
2,1,5,24.9
2,1,6,51.1
2,3,1,128.3
2,3,4,216.8
2,3,5,210.9
2,3,6,423.6
2,4,1,136.9
2,4,3,354.8
2,4,5,270.5
2,4,6,407.8
2,5,1,77.5
2,5,3,221.8
2,5,4,243.9
2,5,6,212.0
2,6,1,246.1
2,6,3,745.2
2,6,4,706.6
2,6,5,384.8
3,1,2,165.9
3,1,4,251.4
3,1,5,232.5
3,1,6,515.5
3,2,1,218.0
3,2,4,378.6
3,2,5,394.0
3,2,6,867.4
3,4,1,479.3
3,4,2,579.3
3,4,5,766.0
3,4,6,1366.0
3,5,1,381.2
3,5,2,502.8
3,5,4,769.6
3,5,6,999.6
3,6,1,1138.0
3,6,2,1290.0
3,6,4,1707.0
3,6,5,1725.0
4,1,2,132.1
4,1,3,355.6
4,1,5,178.0
4,1,6,248.4
4,2,1,213.7
4,2,3,583.4
4,2,5,300.8
4,2,6,388.4
4,3,1,632.9
4,3,2,799.7
4,3,5,970.0
4,3,6,1490.0
4,5,1,204.4
4,5,2,276.4
4,5,3,600.5
4,5,6,318.3
4,6,1,561.4
4,6,2,607.2
4,6,3,1115.0
4,6,5,677.4
5,1,2,85.0
5,1,3,237.9
5,1,4,238.9
5,1,6,186.5
5,2,1,116.1
5,2,3,397.9
5,2,4,345.8
5,2,6,268.3
5,3,1,454.1
5,3,2,671.9
5,3,4,947.6
5,3,6,1196.0
5,4,1,288.1
5,4,2,455.4
5,4,3,836.4
5,4,6,555.7
5,6,1,372.6
5,6,2,366.7
5,6,3,1100.0
5,6,4,803.6
6,1,2,392.2
6,1,3,1196.0
6,1,4,1146.0
6,1,5,836.4
6,2,1,522.1
6,2,3,1438.0
6,2,4,1450.0
6,2,5,773.3
6,3,1,1906.0
6,3,2,1906.0
6,3,4,2309.0
6,3,5,2602.0
6,4,1,1450.0
6,4,2,1801.0
6,4,3,2446.0
6,4,5,1546.0
6,5,1,795.8
6,5,2,752.0
6,5,3,1999.0
6,5,4,1290.0
